                          * c:\fossee\cmost\cmost.cir
                          Transient Analysis  Fri Mar 07 23:31:57  2025
--------------------------------------------------------------------------------
Index   time            v2#branch       v3#branch       
--------------------------------------------------------------------------------
0	0.000000e+00	0.000000e+00	-2.21435e-11	
1	1.000000e-06	-1.69284e-07	1.065071e-07	
2	2.000000e-06	-1.94523e-07	1.325983e-07	
3	4.000000e-06	-2.20249e-07	1.614986e-07	
4	8.000000e-06	-2.40897e-07	1.857235e-07	
5	1.600000e-05	-2.45819e-07	1.912637e-07	
6	3.200000e-05	-2.44895e-07	1.910845e-07	
7	6.400000e-05	-2.43769e-07	1.905201e-07	
8	1.280000e-04	-2.42092e-07	1.906143e-07	
9	2.280000e-04	-2.38964e-07	1.820995e-07	
10	3.280000e-04	-2.49289e-07	8.602218e-08	
11	4.280000e-04	-2.88826e-07	-8.31705e-07	
12	5.280000e-04	-2.61323e-07	-4.21304e-06	
13	6.280000e-04	-2.78128e-07	-1.01556e-05	
14	7.280000e-04	-2.45946e-07	-1.82397e-05	
15	8.280000e-04	-2.61420e-07	-2.81061e-05	
16	9.280000e-04	-2.27499e-07	-3.95600e-05	
17	1.028000e-03	-2.64490e-07	-5.18780e-05	
18	1.031912e-03	-2.70153e-07	-5.23455e-05	
19	1.039735e-03	-2.95011e-07	-5.32582e-05	
20	1.055381e-03	-3.80799e-07	-5.49420e-05	
21	1.070848e-03	-6.82433e-07	-5.58710e-05	
22	1.087951e-03	-7.23519e-06	-7.43130e-06	
23	1.099323e-03	2.739471e-06	2.882675e-06	
24	1.109636e-03	-4.43038e-07	-5.91152e-06	
25	1.117691e-03	-2.10711e-06	2.145203e-06	
26	1.126268e-03	2.686415e-06	-5.03291e-06	
27	1.135031e-03	-3.61815e-06	1.910122e-06	
28	1.145419e-03	3.363464e-06	-4.55896e-06	
29	1.159457e-03	-3.83749e-06	1.985656e-06	
30	1.179442e-03	3.410667e-06	-4.14295e-06	
31	1.207863e-03	-3.81882e-06	2.329511e-06	
32	1.250752e-03	3.396249e-06	-3.59965e-06	
33	1.328866e-03	-3.78086e-06	2.908316e-06	
34	1.428866e-03	3.421666e-06	-3.10392e-06	
35	1.528866e-03	-3.71690e-06	3.092640e-06	
36	1.628866e-03	3.447141e-06	-3.05103e-06	
37	1.728866e-03	-3.67721e-06	3.089629e-06	
38	1.828866e-03	3.461274e-06	-3.04417e-06	
39	1.928866e-03	-3.63809e-06	3.076965e-06	
40	2.028866e-03	3.476565e-06	-3.04100e-06	
41	2.128866e-03	-3.59681e-06	3.063459e-06	
42	2.228866e-03	3.492980e-06	-3.03913e-06	
43	2.328866e-03	-3.55375e-06	3.049618e-06	
44	2.428866e-03	3.509877e-06	-3.03803e-06	
45	2.528866e-03	-3.50951e-06	3.035665e-06	
46	2.628866e-03	3.526427e-06	-3.03722e-06	
47	2.728866e-03	-3.46470e-06	3.021870e-06	
48	2.828866e-03	3.541740e-06	-3.03624e-06	
49	2.928866e-03	-3.41990e-06	3.008491e-06	
50	3.028866e-03	3.554939e-06	-3.03467e-06	
51	3.128866e-03	-3.37545e-06	2.995614e-06	
52	3.228866e-03	3.565341e-06	-3.03249e-06	
53	3.328866e-03	-3.33133e-06	2.982007e-06	
54	3.428866e-03	3.573193e-06	-3.03505e-06	

Index   time            v2#branch       v3#branch       
--------------------------------------------------------------------------------
55	3.528866e-03	-3.27980e-06	2.941329e-06	
56	3.628866e-03	3.599877e-06	-3.15412e-06	
57	3.728866e-03	-3.20790e-06	2.513220e-06	
58	3.828866e-03	3.607428e-06	-4.15037e-06	
59	3.928866e-03	-3.15574e-06	7.113079e-07	
60	4.028866e-03	3.598014e-06	-6.76432e-06	
61	4.128866e-03	-3.09995e-06	-2.77777e-06	
62	4.228866e-03	3.573057e-06	-1.11110e-05	
63	4.328866e-03	-3.02530e-06	-8.04674e-06	
64	4.428866e-03	3.690608e-06	-1.64960e-05	
65	4.513051e-03	-1.56904e-06	-1.07620e-05	
66	4.514550e-03	-3.61290e-06	-1.11643e-05	
67	4.517548e-03	2.577348e-06	-1.09227e-05	
68	4.519501e-03	-2.83399e-06	-8.17480e-06	
69	4.521433e-03	2.762284e-06	-8.31354e-06	
70	4.523228e-03	-3.36870e-06	-5.53074e-06	
71	4.524859e-03	3.237983e-06	-4.22897e-06	
72	4.526355e-03	2.446658e-06	-8.08627e-06	
73	4.527811e-03	1.856285e-06	-2.17884e-06	
74	4.529510e-03	1.387578e-06	-6.35645e-06	
75	4.531099e-03	1.753988e-06	-2.93069e-07	
76	4.532374e-03	9.786445e-07	-7.03168e-06	
77	4.533587e-03	3.552114e-06	-2.01183e-06	
78	4.536014e-03	-1.80645e-08	-5.87509e-06	
79	4.538460e-03	2.539765e-06	-6.49214e-07	
80	4.543353e-03	-1.07380e-06	-4.45718e-06	
81	4.553137e-03	1.839568e-06	5.603213e-07	
82	4.569193e-03	-1.29854e-06	-3.58425e-06	
83	4.594316e-03	1.849545e-06	1.341118e-06	
84	4.644562e-03	-1.31345e-06	-2.67652e-06	
85	4.744562e-03	1.811255e-06	2.040935e-06	
86	4.844562e-03	-1.33123e-06	-2.43974e-06	
87	4.944562e-03	1.820393e-06	2.053126e-06	
88	5.044562e-03	-1.32892e-06	-2.43529e-06	
89	5.144562e-03	1.827021e-06	2.053027e-06	
90	5.244562e-03	-1.32486e-06	-2.43220e-06	
91	5.344562e-03	1.832444e-06	2.055984e-06	
92	5.444562e-03	-1.32099e-06	-2.42628e-06	
93	5.544562e-03	1.838566e-06	2.061974e-06	
